lead_id,created_at,first_name,last_name,email,phone,lead_source,lead_type,lead_status,budget_min,budget_max,preferred_areas,property_type,subject_property_address,estimated_home_value,property_condition,first_contact_date,last_contact_date,next_followup_date,liked_property_ids,shown_property_ids,showings_count,appointment_datetime
LD-1001,2026-09-09T08:14:00,Manish,,,+91-98110-45217,99acres,,New,,,,,,,,,,,,,,
LD-1002,2026-09-09T07:41:00,Priyanka,Rathi,priyanka.rathi@example.com,,Housing.com,Buyer,New,,,,,,,,,,,,,,
LD-1003,2026-09-08T19:02:00,Deepak,,,+91-99719-38804,Site Hoarding Call,,New,,,,,,,,,,,,,,
LD-1004,2026-09-08T15:30:00,Tanvir,Ahmed,t.ahmed@example.com,+91-98718-22190,Facebook Ad,Buyer,New,,9000000,,,,,,,,,,,,
LD-1005,2026-09-07T21:55:00,Anjali,Mehrotra,anjali.mehrotra@example.com,,Property Expo - Chandigarh,Buyer,New,,,,,,,,,,,,,,
LD-1006,2026-09-09T06:52:00,,Unknown,,+91-95602-71148,Website Chatbot,,New,,,,,,,,,,,,,,
LD-1007,2026-09-08T09:25:00,Meera,Chandrasekhar,meera.c@example.com,+91-99102-56731,Referral - Past Client,Buyer,New,,,"Sector 82, Gurugram",,,,,,,,,,,
LD-1008,2026-09-04T22:18:00,Bhavna,Kohli,bkohli@example.com,,Instagram,Investor,New,,,,,,,,,,,,,,
LD-1009,2026-09-05T11:20:00,Karan,Oberoi,karan.oberoi@example.com,+91-98183-60042,MagicBricks,Buyer,Attempted Contact,,,,,,,,2026-09-05,2026-09-08,2026-09-11,,,,
LD-1010,2026-08-28T09:10:00,Harleen,Kaur,harleen.kaur@example.com,+91-98997-11453,Referral - Past Client,Buyer,Contacted,6500000,8200000,"Vaishali, Ghaziabad; Indirapuram",Apartment,,,,2026-08-28,2026-09-06,2026-09-12,,,,
LD-1011,2026-09-02T16:59:00,Aditya,Menon,aditya.menon@example.com,+91-98996-30877,Open House / Site Visit,Buyer,Contacted,,14000000,"Sector 150, Noida; Sector 128, Noida",Apartment,,,,2026-09-02,2026-09-08,2026-09-18,PROP-5501,,0,
LD-1012,2026-07-14T13:45:00,Dhruv,Khanna,dhruv.khanna@example.com,+91-98101-77245,99acres,Buyer,Active - Showing,21000000,26000000,"Golf Course Extension Road, Gurugram; Sector 65, Gurugram",Apartment,,,,2026-07-14,2026-09-08,2026-09-10,PROP-4471;PROP-4502;PROP-4388,PROP-4471;PROP-4388;PROP-4290,3,2026-09-10T17:30:00
LD-1013,2026-06-02T16:22:00,Yukti,Tandon,yukti.tandon@example.com,+91-99589-14320,Housing.com,Buyer,Under Contract,7500000,9500000,"Sector 137, Noida; Sector 76, Noida",Apartment,,,,2026-06-02,2026-09-07,2026-09-15,PROP-3910;PROP-4012,PROP-3910;PROP-4012;PROP-3877;PROP-4105;PROP-3999,5,
LD-1014,2026-08-05T15:48:00,Vikram,Sethi,vikram.sethi@example.com,+91-98914-52208,Site Hoarding Call,Buyer,Active - Showing,5500000,7000000,"Sector 85, Faridabad; Sector 88, Faridabad",Builder Floor,"H-42, Sector 21C, Faridabad, Haryana 121001",8900000,Fair,2026-08-05,2026-09-08,2026-09-12,PROP-7010;PROP-7188,PROP-7010;PROP-6944,2,2026-09-12T09:30:00
LD-1015,2026-08-19T10:05:00,Gayatri,Iyer,gayatri.iyer@example.com,+91-99716-08834,Google Ads,Buyer,Appointment Set,4500000,6000000,Dwarka Sector 12; Dwarka Sector 19,Apartment,"C-118, Vasant Kunj, New Delhi 110070",19500000,Good,2026-08-19,2026-09-05,2026-09-11,,,,2026-09-11T10:00:00
LD-1016,2026-07-02T11:11:00,Anaita,Kapadia,anaita.kapadia@example.com,+971-50-555-4471,Luxury Portal (NRI Desk),Buyer,Qualified,65000000,110000000,"DLF Phase 5, Gurugram; Golf Course Road, Gurugram",Villa,,,,2026-07-03,2026-08-29,2026-09-20,PROP-9002;PROP-9114;PROP-9130,PROP-9002,1,
LD-1017,2026-09-06T12:33:00,Rakesh,Aggarwal,,+91-98105-63719,Property Valuation Landing Page,Seller,Contacted,,,,,"B-304, Mahagun Moderne, Sector 78, Noida, UP 201301",16500000,Good,2026-09-06,2026-09-06,2026-12-01,,,,
LD-1018,2026-08-11T08:50:00,Leena,Prasad,leena.prasad@example.com,+91-99532-40166,Direct Mail Campaign,Seller,Qualified,,,,,"Flat 902, Raj Nagar Extension, Ghaziabad, UP 201017",7300000,Excellent - Recently Renovated,2026-08-12,2026-09-08,2026-09-10,,,,2026-09-10T14:00:00
LD-1019,2026-05-21T17:12:00,Ashok,Bassi,ashok.bassi@example.com,+91-98290-31157,Expired Listing,Seller,Lost,,,,,"D-9, Vaishali Nagar, Jaipur, Rajasthan 302021",9800000,Needs Work,2026-05-22,2026-06-14,,,,,
LD-1020,2026-06-18T20:41:00,Vaishali,Ohri,,+91-98738-90025,Cold Call List,Seller,Unqualified,,,,,,,,2026-06-18,2026-06-18,,,,,
LD-1021,2026-04-09T09:00:00,Sanjay,Mehta,sanjay@mehtacapital.example.com,+91-98111-20583,Investor Meetup,Investor,Active - Showing,20000000,45000000,"Sector 62, Noida; Udyog Vihar, Gurugram",Commercial Office,,,,2026-04-10,2026-09-04,2026-09-14,PROP-2211;PROP-2765,PROP-2211;PROP-2765;PROP-2402;PROP-2988,4,
LD-1022,2026-03-12T14:28:00,Pooja,Bansal,pooja.bansal@example.com,+91-99992-77410,99acres,Investor,Qualified,3000000,5500000,"Sector 22D, Yamuna Expressway; Greater Noida West",Plot,,,,2026-03-13,2026-08-26,2026-09-25,PROP-8801,,0,
LD-1023,2026-08-30T14:07:00,Owais,Siddiqui,owais.siddiqui@example.com,+91-98188-64029,NoBroker,Renter,Qualified,35000,52000,"Sushant Lok 1, Gurugram; Sector 43, Gurugram",Apartment,,,,2026-08-30,2026-09-07,2026-09-10,PROP-6120,PROP-6120,1,
LD-1024,2026-07-25T11:44:00,Chander,Prakash Sharma,cp.sharma@example.com,+91-98997-45610,Referral - Advocate,Landlord,Qualified,,,,,"Tower 4, 1201, Sector 62, Noida, UP 201309",11200000,Good,2026-07-26,2026-09-02,2026-09-16,,,,
LD-1025,2026-02-17T18:36:00,Nidhi,Kaushik,nidhi.kaushik@example.com,+91-99534-82217,Website IDX Form,Buyer,Nurture,3800000,4800000,Greater Noida West; Noida Extension,Apartment,,,,2026-02-18,2026-08-01,2026-11-01,,,,
LD-1026,2026-03-30T13:15:00,Gurpreet,Singh Bedi,gs.bedi@example.com,+91-98220-51194,MagicBricks,Buyer,Unqualified,,,"Baner, Pune",,,,,2026-03-31,2026-03-31,,,,,
LD-1027,2024-11-05T10:00:00,Ishita,Bose,ishita.bose@example.com,+91-98713-30988,Past Client,Buyer,Closed,18000000,24000000,"Greater Kailash 2, New Delhi",Builder Floor,"S-241, Greater Kailash 2, New Delhi 110048",23500000,Excellent,2024-11-06,2026-08-15,2026-11-05,,PROP-1180;PROP-1204;PROP-1233,3,
